settlement_date,model,n,pinball_p10,pinball_p50,pinball_p90,pinball_mean,mae_p50,rmse_p50,bias_p50,coverage,interval_width,frac_below_p10,frac_below_p50,frac_below_p90
2026-09-25,lgbm_quantile,48,5.0765,7.0779,2.1810,4.7785,14.1558,16.4301,-10.9791,0.9583,70.4568,0.0000,0.1875,0.9583
2026-09-25,seasonal_naive,48,12.8728,37.4808,27.2871,25.8802,74.9617,88.1326,-74.9617,0.4167,106.7649,0.0000,0.0000,0.4167
