settlement_date,settlement_period,start_time_utc,cutoff_utc,model,model_version,created_at,p10,p50,p90
2026-09-27,1,2026-09-26T23:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,51.9867,129.4447,166.4240
2026-09-27,2,2026-09-26T23:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,53.7806,126.9410,165.0975
2026-09-27,3,2026-09-27T00:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,51.4592,126.0520,163.3732
2026-09-27,4,2026-09-27T00:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,51.4592,124.0317,162.7817
2026-09-27,5,2026-09-27T01:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,50.4117,119.7089,159.1943
2026-09-27,6,2026-09-27T01:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,52.4722,121.0576,161.6973
2026-09-27,7,2026-09-27T02:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,43.4539,113.6466,157.6441
2026-09-27,8,2026-09-27T02:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,43.2761,115.7699,159.6781
2026-09-27,9,2026-09-27T03:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,39.0314,113.8246,158.9607
2026-09-27,10,2026-09-27T03:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,39.0745,116.1688,159.1593
2026-09-27,11,2026-09-27T04:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,39.0642,119.2074,161.6715
2026-09-27,12,2026-09-27T04:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,43.4456,119.8688,161.6427
2026-09-27,13,2026-09-27T05:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,51.5292,123.6583,168.5465
2026-09-27,14,2026-09-27T05:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,52.4032,125.1346,169.5136
2026-09-27,15,2026-09-27T06:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,47.7488,122.8285,170.5954
2026-09-27,16,2026-09-27T06:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,48.7214,127.3688,171.6779
2026-09-27,17,2026-09-27T07:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,34.2165,104.1399,162.2325
2026-09-27,18,2026-09-27T07:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,24.1322,103.0877,159.4075
2026-09-27,19,2026-09-27T08:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,19.0814,80.7587,146.6745
2026-09-27,20,2026-09-27T08:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,6.2813,76.6038,145.8792
2026-09-27,21,2026-09-27T09:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,5.2358,70.3518,146.2251
2026-09-27,22,2026-09-27T09:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,-0.5940,60.4662,146.0445
2026-09-27,23,2026-09-27T10:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,-6.5635,63.3342,141.8027
2026-09-27,24,2026-09-27T10:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,-6.2119,59.0541,140.8621
2026-09-27,25,2026-09-27T11:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,-9.4282,62.2171,139.2284
2026-09-27,26,2026-09-27T11:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,-8.6025,61.0912,141.4166
2026-09-27,27,2026-09-27T12:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,-8.2968,61.1357,135.8916
2026-09-27,28,2026-09-27T12:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,-3.0936,62.9928,137.4602
2026-09-27,29,2026-09-27T13:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,3.5466,75.3562,141.8359
2026-09-27,30,2026-09-27T13:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,6.3941,79.5535,146.3691
2026-09-27,31,2026-09-27T14:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,12.5380,88.8823,150.2046
2026-09-27,32,2026-09-27T14:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,25.0783,101.1217,154.5848
2026-09-27,33,2026-09-27T15:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,36.9931,117.9539,163.0823
2026-09-27,34,2026-09-27T15:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,61.6691,131.3839,167.0194
2026-09-27,35,2026-09-27T16:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,82.6489,141.1201,181.6119
2026-09-27,36,2026-09-27T16:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,101.6602,147.5962,184.6274
2026-09-27,37,2026-09-27T17:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,119.0792,156.8659,187.9467
2026-09-27,38,2026-09-27T17:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,125.4174,157.1597,188.4067
2026-09-27,39,2026-09-27T18:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,124.6288,159.0620,189.4010
2026-09-27,40,2026-09-27T18:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,124.9731,162.0415,189.1316
2026-09-27,41,2026-09-27T19:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,122.0663,159.6636,187.8954
2026-09-27,42,2026-09-27T19:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,119.6657,156.2450,187.8980
2026-09-27,43,2026-09-27T20:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,113.4512,151.3944,183.7614
2026-09-27,44,2026-09-27T20:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,96.3583,150.1013,178.6632
2026-09-27,45,2026-09-27T21:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,94.7085,149.4037,175.9600
2026-09-27,46,2026-09-27T21:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,86.2910,146.4267,169.9252
2026-09-27,47,2026-09-27T22:00:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,79.6547,142.4807,172.6028
2026-09-27,48,2026-09-27T22:30:00Z,2026-09-26T08:00:00Z,lgbm_quantile,model-v1,2026-09-26T13:47:38Z,75.1951,139.6428,171.5529
2026-09-27,1,2026-09-26T23:00:00Z,2026-09-26T08:00:00Z,seasonal_naive,baseline,2026-09-26T13:47:38Z,-24.6760,4.1700,33.7510
2026-09-27,2,2026-09-26T23:30:00Z,2026-09-26T08:00:00Z,seasonal_naive,baseline,2026-09-26T13:47:38Z,-27.6360,1.2100,30.7910
2026-09-27,3,2026-09-27T00:00:00Z,2026-09-26T08:00:00Z,seasonal_naive,baseline,2026-09-26T13:47:38Z,-29.2500,-1.1400,27.6540
2026-09-27,4,2026-09-27T00:30:00Z,2026-09-26T08:00:00Z,seasonal_naive,baseline,2026-09-26T13:47:38Z,-29.8000,-1.6900,27.1040
2026-09-27,5,2026-09-27T01:00:00Z,2026-09-26T08:00:00Z,seasonal_naive,baseline,2026-09-26T13:47:38Z,-32.1210,-1.7800,31.0200
2026-09-27,6,2026-09-27T01:30:00Z,2026-09-26T08:00:00Z,seasonal_naive,baseline,2026-09-26T13:47:38Z,-30.2910,0.0500,32.8500
2026-09-27,7,2026-09-27T02:00:00Z,2026-09-26T08:00:00Z,seasonal_naive,baseline,2026-09-26T13:47:38Z,-32.2240,-0.6300,36.7400
