settlement_date,settlement_period,start_time_utc,cutoff_utc,model,model_version,created_at,p10,p50,p90
2026-09-25,1,2026-09-24T23:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,81.8459,127.2171,147.6287
2026-09-25,2,2026-09-24T23:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,82.9939,126.4270,146.5439
2026-09-25,3,2026-09-25T00:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,84.1311,127.8014,148.4288
2026-09-25,4,2026-09-25T00:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,83.9374,125.5877,148.3641
2026-09-25,5,2026-09-25T01:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,85.3113,124.6349,148.6447
2026-09-25,6,2026-09-25T01:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,84.4745,128.5537,145.2352
2026-09-25,7,2026-09-25T02:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,87.3356,127.8301,150.8131
2026-09-25,8,2026-09-25T02:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,85.4035,126.0586,149.9384
2026-09-25,9,2026-09-25T03:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,86.9130,133.2391,160.2320
2026-09-25,10,2026-09-25T03:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,88.5335,134.5823,159.3333
2026-09-25,11,2026-09-25T04:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,91.2477,140.6390,167.8685
2026-09-25,12,2026-09-25T04:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,98.1685,145.0594,168.9048
2026-09-25,13,2026-09-25T05:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,114.8379,155.1408,181.5648
2026-09-25,14,2026-09-25T05:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,122.7474,160.6256,185.0190
2026-09-25,15,2026-09-25T06:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,125.5273,167.3922,193.9877
2026-09-25,16,2026-09-25T06:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,125.8932,168.6835,198.3414
2026-09-25,17,2026-09-25T07:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,116.1251,157.1963,198.9933
2026-09-25,18,2026-09-25T07:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,112.6205,153.3358,197.4035
2026-09-25,19,2026-09-25T08:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,105.1383,148.3670,174.1010
2026-09-25,20,2026-09-25T08:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,104.9320,145.1855,167.0613
2026-09-25,21,2026-09-25T09:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,101.7592,138.8575,162.8928
2026-09-25,22,2026-09-25T09:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,100.6870,134.7141,159.3349
2026-09-25,23,2026-09-25T10:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,95.8480,123.8326,156.4706
2026-09-25,24,2026-09-25T10:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,95.9814,122.8260,156.4135
2026-09-25,25,2026-09-25T11:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,97.4875,129.0497,157.4144
2026-09-25,26,2026-09-25T11:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,97.8939,130.9979,164.4734
2026-09-25,27,2026-09-25T12:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,96.7831,130.3907,165.3441
2026-09-25,28,2026-09-25T12:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,97.0604,130.0851,165.3180
2026-09-25,29,2026-09-25T13:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,99.1728,133.0323,173.9475
2026-09-25,30,2026-09-25T13:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,99.6726,134.6939,174.8155
2026-09-25,31,2026-09-25T14:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,102.0976,137.3817,174.9668
2026-09-25,32,2026-09-25T14:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,104.4625,139.5296,177.9148
2026-09-25,33,2026-09-25T15:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,108.0967,147.6634,185.2201
2026-09-25,34,2026-09-25T15:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,108.2861,153.7741,194.9530
2026-09-25,35,2026-09-25T16:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,116.8994,160.4431,202.8651
2026-09-25,36,2026-09-25T16:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,118.7683,164.2711,204.7410
2026-09-25,37,2026-09-25T17:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,122.0650,167.5644,199.8800
2026-09-25,38,2026-09-25T17:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,120.4768,165.3540,201.8862
2026-09-25,39,2026-09-25T18:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,117.5039,162.8614,195.3323
2026-09-25,40,2026-09-25T18:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,116.9826,160.6694,194.3084
2026-09-25,41,2026-09-25T19:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,113.8425,155.6721,191.1801
2026-09-25,42,2026-09-25T19:30:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,112.9141,155.3570,192.1170
2026-09-25,43,2026-09-25T20:00:00Z,2026-09-24T08:00:00Z,lgbm_quantile,model-v1,2026-09-24T14:16:11Z,112.7006,150.0409,180.4124
