strategy,net_gbp,revenue_gbp,degradation_gbp,cycles,discharged_mwh,days,net_gbp_per_mw_year,cycles_per_day,capture_vs_perfect,share_of_gap_closed
perfect_foresight,57939.85490588189,71471.59294332413,13531.738037442236,713.1852149842381,1353.1738037442235,568,37232.47718423748,1.255607772859574,1.0,1.0
forecast_lgbm,42162.3497118148,54867.35108964693,12705.001377832134,669.6123671587839,1270.5001377832132,568,27093.763459176764,1.1788950126034927,0.727691668891884,0.7156706527037846
forecast_naive,27036.01033306059,40585.74837050283,13549.738037442236,714.1338982822887,1354.9738037442235,568,17373.492555575907,1.2572779899336068,0.4666219889051874,0.44307608533457205
naive_fixed,2449.609723311875,13226.651989165712,10777.042265853837,568.0,1077.7042265853836,568,1574.1330088183702,1.0,0.04227849253835804,0.0
