settlement_date,settlement_period,start_time_utc,model_version,strategy,decision_price,charge_mw,discharge_mw,soc_mwh,created_at
2026-09-27,1,2026-09-26T23:00:00Z,model-v1,forecast_lgbm,129.4447,0.0000,0.0000,0.0000,2026-09-26T13:47:38Z
2026-09-27,2,2026-09-26T23:30:00Z,model-v1,forecast_lgbm,126.9410,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,3,2026-09-27T00:00:00Z,model-v1,forecast_lgbm,126.0520,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,4,2026-09-27T00:30:00Z,model-v1,forecast_lgbm,124.0317,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,5,2026-09-27T01:00:00Z,model-v1,forecast_lgbm,119.7089,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,6,2026-09-27T01:30:00Z,model-v1,forecast_lgbm,121.0576,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,7,2026-09-27T02:00:00Z,model-v1,forecast_lgbm,113.6466,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,8,2026-09-27T02:30:00Z,model-v1,forecast_lgbm,115.7699,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,9,2026-09-27T03:00:00Z,model-v1,forecast_lgbm,113.8246,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,10,2026-09-27T03:30:00Z,model-v1,forecast_lgbm,116.1688,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,11,2026-09-27T04:00:00Z,model-v1,forecast_lgbm,119.2074,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,12,2026-09-27T04:30:00Z,model-v1,forecast_lgbm,119.8688,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,13,2026-09-27T05:00:00Z,model-v1,forecast_lgbm,123.6583,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,14,2026-09-27T05:30:00Z,model-v1,forecast_lgbm,125.1346,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,15,2026-09-27T06:00:00Z,model-v1,forecast_lgbm,122.8285,0.0000,0.0000,-0.0000,2026-09-26T13:47:38Z
2026-09-27,16,2026-09-27T06:30:00Z,model-v1,forecast_lgbm,127.3688,0.0000,0.0000,0.0000,2026-09-26T13:47:38Z
2026-09-27,17,2026-09-27T07:00:00Z,model-v1,forecast_lgbm,104.1399,0.0000,0.0000,0.0000,2026-09-26T13:47:38Z
2026-09-27,18,2026-09-27T07:30:00Z,model-v1,forecast_lgbm,103.0877,0.0000,0.0000,0.0000,2026-09-26T13:47:38Z
