settlement_date,settlement_period,start_time_utc,model_version,strategy,decision_price,charge_mw,discharge_mw,soc_mwh,created_at
2026-09-25,1,2026-09-24T23:00:00Z,model-v1,forecast_lgbm,127.2171,0.2164,0.0000,0.1026,2026-09-24T14:16:11Z
2026-09-25,2,2026-09-24T23:30:00Z,model-v1,forecast_lgbm,126.4270,1.0000,0.0000,0.5770,2026-09-24T14:16:11Z
2026-09-25,3,2026-09-25T00:00:00Z,model-v1,forecast_lgbm,127.8014,0.0000,0.0000,0.5770,2026-09-24T14:16:11Z
2026-09-25,4,2026-09-25T00:30:00Z,model-v1,forecast_lgbm,125.5877,1.0000,0.0000,1.0513,2026-09-24T14:16:11Z
2026-09-25,5,2026-09-25T01:00:00Z,model-v1,forecast_lgbm,124.6349,1.0000,0.0000,1.5257,2026-09-24T14:16:11Z
2026-09-25,6,2026-09-25T01:30:00Z,model-v1,forecast_lgbm,128.5537,0.0000,0.0000,1.5257,2026-09-24T14:16:11Z
2026-09-25,7,2026-09-25T02:00:00Z,model-v1,forecast_lgbm,127.8301,0.0000,0.0000,1.5257,2026-09-24T14:16:11Z
2026-09-25,8,2026-09-25T02:30:00Z,model-v1,forecast_lgbm,126.0586,1.0000,0.0000,2.0000,2026-09-24T14:16:11Z
2026-09-25,9,2026-09-25T03:00:00Z,model-v1,forecast_lgbm,133.2391,0.0000,0.0000,2.0000,2026-09-24T14:16:11Z
2026-09-25,10,2026-09-25T03:30:00Z,model-v1,forecast_lgbm,134.5823,0.0000,0.0000,2.0000,2026-09-24T14:16:11Z
2026-09-25,11,2026-09-25T04:00:00Z,model-v1,forecast_lgbm,140.6390,0.0000,0.0000,2.0000,2026-09-24T14:16:11Z
2026-09-25,12,2026-09-25T04:30:00Z,model-v1,forecast_lgbm,145.0594,0.0000,0.0000,2.0000,2026-09-24T14:16:11Z
2026-09-25,13,2026-09-25T05:00:00Z,model-v1,forecast_lgbm,155.1408,0.0000,0.0000,2.0000,2026-09-24T14:16:11Z
2026-09-25,14,2026-09-25T05:30:00Z,model-v1,forecast_lgbm,160.6256,0.0000,0.0000,2.0000,2026-09-24T14:16:11Z
2026-09-25,15,2026-09-25T06:00:00Z,model-v1,forecast_lgbm,167.3922,0.0000,1.0000,1.4730,2026-09-24T14:16:11Z
2026-09-25,16,2026-09-25T06:30:00Z,model-v1,forecast_lgbm,168.6835,0.0000,1.0000,0.9459,2026-09-24T14:16:11Z
2026-09-25,17,2026-09-25T07:00:00Z,model-v1,forecast_lgbm,157.1963,0.0000,0.0000,0.9459,2026-09-24T14:16:11Z
2026-09-25,18,2026-09-25T07:30:00Z,model-v1,forecast_lgbm,153.3358,0.0000,0.0000,0.9459,2026-09-24T14:16:11Z
2026-09-25,19,2026-09-25T08:00:00Z,model-v1,forecast_lgbm,148.3670,0.0000,0.0000,0.9459,2026-09-24T14:16:11Z
2026-09-25,20,2026-09-25T08:30:00Z,model-v1,forecast_lgbm,145.1855,0.0000,0.0000,0.9459,2026-09-24T14:16:11Z
2026-09-25,21,2026-09-25T09:00:00Z,model-v1,forecast_lgbm,138.8575,0.0000,0.0000,0.9459,2026-09-24T14:16:11Z
2026-09-25,22,2026-09-25T09:30:00Z,model-v1,forecast_lgbm,134.7141,0.0000,0.0000,0.9459,2026-09-24T14:16:11Z
2026-09-25,23,2026-09-25T10:00:00Z,model-v1,forecast_lgbm,123.8326,1.0000,0.0000,1.4202,2026-09-24T14:16:11Z
2026-09-25,24,2026-09-25T10:30:00Z,model-v1,forecast_lgbm,122.8260,1.0000,0.0000,1.8946,2026-09-24T14:16:11Z
2026-09-25,25,2026-09-25T11:00:00Z,model-v1,forecast_lgbm,129.0497,0.1082,0.0000,1.9459,2026-09-24T14:16:11Z
2026-09-25,26,2026-09-25T11:30:00Z,model-v1,forecast_lgbm,130.9979,0.0000,0.0000,1.9459,2026-09-24T14:16:11Z
