settlement_date,settlement_period,start_time_utc,model_version,strategy,decision_price,charge_mw,discharge_mw,soc_mwh,created_at
2026-09-26,43,2026-09-26T20:00:00Z,model-v1,forecast_lgbm,132.2823,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,44,2026-09-26T20:30:00Z,model-v1,forecast_lgbm,128.3680,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,45,2026-09-26T21:00:00Z,model-v1,forecast_lgbm,119.2071,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,46,2026-09-26T21:30:00Z,model-v1,forecast_lgbm,116.9708,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,47,2026-09-26T22:00:00Z,model-v1,forecast_lgbm,114.7502,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,48,2026-09-26T22:30:00Z,model-v1,forecast_lgbm,112.8074,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,1,2026-09-25T23:00:00Z,baseline,forecast_naive,-3.2600,1.0000,0.0000,0.4743,2026-09-25T14:39:35Z
2026-09-26,2,2026-09-25T23:30:00Z,baseline,forecast_naive,-2.0400,1.0000,0.0000,0.9487,2026-09-25T14:39:35Z
2026-09-26,3,2026-09-26T00:00:00Z,baseline,forecast_naive,-0.3600,0.3246,0.0000,1.1026,2026-09-25T14:39:35Z
2026-09-26,4,2026-09-26T00:30:00Z,baseline,forecast_naive,-2.2400,1.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,5,2026-09-26T01:00:00Z,baseline,forecast_naive,-0.2500,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,6,2026-09-26T01:30:00Z,baseline,forecast_naive,-0.2000,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,7,2026-09-26T02:00:00Z,baseline,forecast_naive,1.1400,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,8,2026-09-26T02:30:00Z,baseline,forecast_naive,2.5600,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,9,2026-09-26T03:00:00Z,baseline,forecast_naive,1.0600,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,10,2026-09-26T03:30:00Z,baseline,forecast_naive,4.0400,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,11,2026-09-26T04:00:00Z,baseline,forecast_naive,2.1800,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,12,2026-09-26T04:30:00Z,baseline,forecast_naive,3.9100,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,13,2026-09-26T05:00:00Z,baseline,forecast_naive,6.7800,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,14,2026-09-26T05:30:00Z,baseline,forecast_naive,7.1200,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,15,2026-09-26T06:00:00Z,baseline,forecast_naive,11.0900,0.0000,0.0000,1.5770,2026-09-25T14:39:35Z
2026-09-26,16,2026-09-26T06:30:00Z,baseline,forecast_naive,14.4900,0.0000,1.0000,1.0499,2026-09-25T14:39:35Z
2026-09-26,17,2026-09-26T07:00:00Z,baseline,forecast_naive,10.9500,0.0000,0.0000,1.0499,2026-09-25T14:39:35Z
2026-09-26,18,2026-09-26T07:30:00Z,baseline,forecast_naive,12.5100,0.0000,0.8974,0.5770,2026-09-25T14:39:35Z
2026-09-26,19,2026-09-26T08:00:00Z,baseline,forecast_naive,8.6100,0.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,20,2026-09-26T08:30:00Z,baseline,forecast_naive,5.9600,0.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,21,2026-09-26T09:00:00Z,baseline,forecast_naive,5.5200,0.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,22,2026-09-26T09:30:00Z,baseline,forecast_naive,4.1700,0.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,23,2026-09-26T10:00:00Z,baseline,forecast_naive,2.9900,0.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,24,2026-09-26T10:30:00Z,baseline,forecast_naive,0.7500,0.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,25,2026-09-26T11:00:00Z,baseline,forecast_naive,1.5300,0.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,26,2026-09-26T11:30:00Z,baseline,forecast_naive,0.7600,0.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,27,2026-09-26T12:00:00Z,baseline,forecast_naive,-0.1000,0.0000,0.0000,0.5770,2026-09-25T14:39:35Z
2026-09-26,28,2026-09-26T12:30:00Z,baseline,forecast_naive,-2.1900,1.0000,0.0000,1.0513,2026-09-25T14:39:35Z
2026-09-26,29,2026-09-26T13:00:00Z,baseline,forecast_naive,-1.4700,1.0000,0.0000,1.5257,2026-09-25T14:39:35Z
2026-09-26,30,2026-09-26T13:30:00Z,baseline,forecast_naive,-1.5700,1.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,31,2026-09-26T14:00:00Z,baseline,forecast_naive,2.0500,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,32,2026-09-26T14:30:00Z,baseline,forecast_naive,7.2100,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,33,2026-09-26T15:00:00Z,baseline,forecast_naive,31.8300,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,34,2026-09-26T15:30:00Z,baseline,forecast_naive,49.7000,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,35,2026-09-26T16:00:00Z,baseline,forecast_naive,67.6900,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,36,2026-09-26T16:30:00Z,baseline,forecast_naive,83.5200,0.0000,0.0000,2.0000,2026-09-25T14:39:35Z
2026-09-26,37,2026-09-26T17:00:00Z,baseline,forecast_naive,109.0900,0.0000,0.7947,1.5811,2026-09-25T14:39:35Z
2026-09-26,38,2026-09-26T17:30:00Z,baseline,forecast_naive,121.1000,0.0000,1.0000,1.0541,2026-09-25T14:39:35Z
2026-09-26,39,2026-09-26T18:00:00Z,baseline,forecast_naive,129.1500,0.0000,1.0000,0.5270,2026-09-25T14:39:35Z
2026-09-26,40,2026-09-26T18:30:00Z,baseline,forecast_naive,137.3000,0.0000,1.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,41,2026-09-26T19:00:00Z,baseline,forecast_naive,102.8100,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,42,2026-09-26T19:30:00Z,baseline,forecast_naive,75.2900,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,43,2026-09-26T20:00:00Z,baseline,forecast_naive,85.4700,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,44,2026-09-26T20:30:00Z,baseline,forecast_naive,49.9800,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,45,2026-09-26T21:00:00Z,baseline,forecast_naive,35.5000,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,46,2026-09-26T21:30:00Z,baseline,forecast_naive,32.6000,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
2026-09-26,47,2026-09-26T22:00:00Z,baseline,forecast_naive,11.9800,0.0000,0.0000,-0.0000,2026-09-25T14:39:35Z
2026-09-26,48,2026-09-26T22:30:00Z,baseline,forecast_naive,7.1200,0.0000,0.0000,0.0000,2026-09-25T14:39:35Z
