fold,month,model,n,pinball_p10,pinball_p50,pinball_p90,pinball_mean,mae_p50,rmse_p50,bias_p50,coverage,interval_width,frac_below_p10,frac_below_p50,frac_below_p90
1,2025-03,seasonal_naive,1486,6.468944818304172,10.847039030955585,5.427204441453567,7.581062763571109,21.69407806191117,31.203420143752897,2.238909825033649,0.8633916554508748,86.03687617765816,0.0800807537012113,0.5329744279946165,0.9434724091520862
1,2025-03,lgbm_quantile,1486,2.832178618202444,5.513573528498778,2.9578303184510175,3.7678608217174134,11.027147056997556,14.664996092119516,1.145750426169701,0.9380888290713324,53.14833364554492,0.04104979811574697,0.5262449528936743,0.9791386271870794
2,2025-04,seasonal_naive,1440,6.26828888888889,11.182461805555555,6.198606944444443,7.883119212962963,22.36492361111111,32.243470436103635,-1.208895833333333,0.85,86.08645833333335,0.059722222222222225,0.5041666666666667,0.9097222222222222
2,2025-04,lgbm_quantile,1440,3.7827901401346766,7.386964227337075,3.060589454918932,4.743447940796894,14.77392845467415,21.559342344433645,3.5654644091519647,0.7625,39.823244602121505,0.16944444444444445,0.5395833333333333,0.9319444444444445
3,2025-05,seasonal_naive,1488,6.395085215053763,11.08224798387097,5.3850846774193535,7.620805958781362,22.16449596774194,31.29990830249545,5.733111559139784,0.8286290322580645,86.51995833333335,0.11827956989247312,0.5463709677419355,0.9469086021505376
3,2025-05,lgbm_quantile,1488,3.4614612363581307,6.760686481292335,2.946142148109155,4.389429955253207,13.52137296258467,19.007496193132916,1.4949707816479694,0.7950268817204301,40.28627658840631,0.11088709677419355,0.5181451612903226,0.9059139784946236
4,2025-06,seasonal_naive,1430,9.163399160839163,18.302674825174822,9.11334825174825,12.193140745920743,36.605349650349645,48.313384920201486,-3.656356643356643,0.6734265734265734,90.28254405594407,0.13216783216783218,0.4342657342657343,0.8055944055944056
4,2025-06,lgbm_quantile,1430,4.311601230153368,8.83594459012992,4.11898777618022,5.755511198821169,17.67188918025984,23.851261824276254,-1.4485079644774919,0.6692307692307692,43.463685871992396,0.14615384615384616,0.4398601398601399,0.8153846153846154
5,2025-07,seasonal_naive,1488,6.217986559139786,8.671182795698925,5.620693413978493,6.836620922939068,17.34236559139785,27.702829881940616,-3.500860215053763,0.8897849462365591,88.67954166666667,0.030913978494623656,0.47446236559139787,0.9206989247311828
5,2025-07,lgbm_quantile,1488,2.664285624568175,5.65873510759833,3.4788890516383226,3.9339699279349425,11.31747021519666,17.05357830393743,-0.9007251668359149,0.8958333333333334,44.40625405519726,0.014112903225806451,0.5631720430107527,0.9099462365591398
6,2025-08,seasonal_naive,1488,6.8587239247311835,12.694267473118279,6.8807946236559125,8.811262007168457,25.388534946236557,36.88946850469846,2.462311827956989,0.7741935483870968,80.75554166666669,0.12701612903225806,0.5067204301075269,0.9012096774193549
6,2025-08,lgbm_quantile,1488,2.8548289409994174,6.683932520429826,2.970158782368981,4.169640081266074,13.367865040859652,18.198667727315208,0.48209319751439333,0.8084677419354839,40.119846263791885,0.1081989247311828,0.5483870967741935,0.9166666666666666
7,2025-09,seasonal_naive,1439,9.459536970118137,18.03463168867269,10.00974878387769,12.501305814222839,36.06926337734538,47.727330052936466,-3.5321542738012526,0.6129256428075052,81.1987505211953,0.16330785267546907,0.47324530924252955,0.7762334954829743
7,2025-09,lgbm_quantile,1439,4.485582906826942,7.56305218830689,3.612252363515009,5.220295819549613,15.12610437661378,22.627974710972506,3.738735734324148,0.7199444058373871,39.89267084713043,0.20847810979847117,0.5753995830437804,0.9284225156358582
8,2025-10,seasonal_naive,1490,8.625013959731543,15.020003355704699,8.434783355704697,10.693266890380313,30.040006711409397,42.52800606738005,7.921241610738255,0.7201342281879195,94.60365771812081,0.18523489932885906,0.5946308724832214,0.9053691275167786
8,2025-10,lgbm_quantile,1490,2.9420110125635675,6.875971499827659,3.673730973092961,4.497237828494729,13.751942999655318,20.446931153709947,-0.778092333719034,0.8147651006711409,43.035858085102404,0.10469798657718121,0.521476510067114,0.9194630872483222
9,2025-11,seasonal_naive,1440,6.539752083333335,10.503708333333334,5.819700694444443,7.621053703703704,21.007416666666668,28.555356899168476,-6.099902777777777,0.8743055555555556,103.32125,0.03333333333333333,0.40625,0.9076388888888889
9,2025-11,lgbm_quantile,1440,2.83428440048106,6.559007026467816,2.9276088720228466,4.106966766323907,13.118014052935631,17.762263840510222,-3.1536417855239827,0.8270833333333333,42.89118923540933,0.05277777777777778,0.4791666666666667,0.8798611111111111
10,2025-12,seasonal_naive,1488,5.38852123655914,7.597066532258065,5.395832392473118,6.127140053763441,15.19413306451613,21.190864217319728,-0.672547043010753,0.9395161290322581,100.69087500000003,0.025537634408602152,0.4650537634408602,0.9650537634408602
10,2025-12,lgbm_quantile,1488,2.0860711802625764,4.568443377973544,2.5099549612249112,3.0548231731536775,9.136886755947089,12.303955209055822,1.1275083185237367,0.9092741935483871,41.191829484435694,0.061155913978494625,0.5719086021505376,0.9704301075268817
11,2026-01,seasonal_naive,1488,7.1679936827957,10.68372311827957,7.094181586021507,8.315299462365592,21.36744623655914,38.354343620987365,-5.219569892473119,0.8998655913978495,86.68370833333336,0.04502688172043011,0.3696236559139785,0.9448924731182796
11,2026-01,lgbm_quantile,1488,3.2012881825509685,7.569776557683778,3.6231886292418203,4.798084456492189,15.139553115367557,22.942465985301276,-9.36263939687245,0.7137096774193549,38.403299638106006,0.07258064516129033,0.26814516129032256,0.7862903225806451
12,2026-02,seasonal_naive,1344,3.963123065476191,7.485096726190475,5.25488630952381,5.56770203373016,14.97019345238095,20.15026493090635,8.90404761904762,0.9389880952380952,86.26233333333336,0.05133928571428571,0.7157738095238095,0.9903273809523809
12,2026-02,lgbm_quantile,1344,2.1816187612191493,6.000112774798971,2.4216677019802044,3.534466412666108,12.000225549597943,14.662985597536188,8.673888644559762,0.7678571428571429,32.553011142691275,0.19642857142857142,0.7998511904761905,0.9642857142857143
13,2026-03,seasonal_naive,1486,12.72827065948856,22.191837146702557,12.427270121130547,15.782459309107223,44.383674293405114,56.58268381824399,-2.4903768506056516,0.5026917900403769,74.53104037685063,0.20121130551816957,0.4569313593539704,0.7039030955585465
13,2026-03,lgbm_quantile,1486,4.624623073811473,10.162341323958897,4.678481947149087,6.488482114973152,20.324682647917793,25.334404373047924,-5.7222373156015545,0.6117092866756393,44.74611994309775,0.12987886944818305,0.3613728129205922,0.7415881561238223
14,2026-04,seasonal_naive,1440,9.598370833333334,18.13422222222222,11.62183472222222,13.11814259259259,36.26844444444444,49.88658397082103,-2.796833333333334,0.6402777777777777,77.29700000000003,0.15416666666666667,0.5194444444444445,0.7944444444444444
14,2026-04,lgbm_quantile,1440,5.0009362161159325,10.053691295282205,4.124188389561979,6.3929386336533724,20.10738259056441,27.14639679262904,-8.135118052591336,0.7826388888888889,58.877006970276824,0.08263888888888889,0.3368055555555556,0.8652777777777778
15,2026-05,seasonal_naive,1486,4.818084656796771,9.386325706594887,5.375449528936743,6.526619964109467,18.772651413189774,26.367970544952612,-2.8894078061911177,0.8802153432032301,79.84313458950204,0.05720053835800808,0.46635262449528936,0.9374158815612382
15,2026-05,lgbm_quantile,1486,3.4793409315674797,6.729796721646078,2.760427178077755,4.323188277097104,13.459593443292157,18.011530227360627,-0.5140531678651995,0.9253028263795424,57.63329914614984,0.01547779273216689,0.5168236877523553,0.9407806191117093
16,2026-06,seasonal_naive,1440,9.468415972222223,15.864659722222223,10.226772222222221,11.85328263888889,31.729319444444446,54.32818643566973,0.5893333333333329,0.7340277777777777,78.66220833333334,0.15069444444444444,0.5326388888888889,0.8847222222222222
16,2026-06,lgbm_quantile,1440,5.042337952884092,9.943864959529622,5.575807001724526,6.854003304712745,19.887729919059243,36.15980505482107,1.7958037651053695,0.7243055555555555,46.4217232970323,0.17569444444444443,0.5222222222222223,0.9
17,2026-07,seasonal_naive,1482,7.477648043184885,13.720529689608638,7.2451530364372445,9.481110256410256,27.441059379217275,40.471706098636524,-1.479143049932524,0.7989203778677463,88.51927260458842,0.11403508771929824,0.44534412955465585,0.9129554655870445
17,2026-07,lgbm_quantile,1482,3.8425136388745726,7.63917715980955,3.2938447045826367,4.9251785010889195,15.2783543196191,22.41030572295636,0.9308853946020583,0.8137651821862348,48.586822320089205,0.10121457489878542,0.4750337381916329,0.9149797570850202
18,2026-08,seasonal_naive,1488,7.07434932795699,16.36793010752688,8.702700806451611,10.714993413978496,32.73586021505376,46.481998680608456,-7.909005376344087,0.8030913978494624,96.15783333333336,0.06854838709677419,0.44489247311827956,0.8716397849462365
18,2026-08,lgbm_quantile,1488,4.255283351280797,8.939798242285274,3.5245650060887486,5.573215533218273,17.87959648457055,24.486316603558002,2.064638267327068,0.8454301075268817,58.922844621968935,0.06451612903225806,0.5208333333333334,0.9099462365591398
19,2026-09,seasonal_naive,1013,18.750915399802565,27.305542941757157,13.174316386969394,19.74359157617637,54.61108588351431,78.35389684085965,13.669585389930901,0.6367226061204343,106.35021520236921,0.25172754195459035,0.5310957551826259,0.8884501480750246
19,2026-09,lgbm_quantile,1013,11.64071866650648,16.353667975030486,6.383696137548432,11.459360926361798,32.70733595006097,43.8695633335917,13.135608202246125,0.5419545903257651,67.57520049244106,0.26258637709772953,0.5143139190523198,0.8045409674234946
