model,scope,n,pinball_p10,pinball_p50,pinball_p90,pinball_mean,mae_p50,rmse_p50,bias_p50,coverage,interval_width,frac_below_p10,frac_below_p50,frac_below_p90,pinball_skill_vs_baseline
lgbm_quantile,all,27344,3.8482756012343193,7.741331083654543,3.5677367285163695,5.05244780446841,15.482662167309085,22.902779245151486,0.17600697359767445,0.7871196606202457,46.13741248868753,0.10810415447630194,0.5037668227033353,0.8952238150965477,0.48383016882542607
lgbm_quantile,selection,8820,3.308902696238952,6.790429753885402,3.2508820727469936,4.4500715076237825,13.580859507770803,19.241736773612615,0.7218911163272048,0.8126984126984127,43.559839417175546,0.09761904761904762,0.523015873015873,0.9103174603174603,0.47440910597829067
lgbm_quantile,holdout,18524,4.105092110738699,8.194092351661658,3.7186036073700683,5.339262689923475,16.388184703323315,24.4540826118044,-0.08390979053936214,0.7749406175771971,47.36469571535217,0.113096523429065,0.4946015979270136,0.8880371410062622,0.4874759102715531
seasonal_naive,all,27344,7.8533294470450565,13.737147820362786,7.77455435196021,9.788343873122683,27.474295640725572,41.43352038239721,-0.248970157987127,0.7844499707431246,87.7377090403745,0.10558074897600936,0.49425833820947923,0.890030719719134,0.0
seasonal_naive,selection,8820,6.884000090702948,12.094835034013606,6.421556462585033,8.466797195767196,24.189670068027212,35.16476417509146,0.3790396825396821,0.8139455782312925,86.3696641723356,0.09126984126984126,0.5002267573696145,0.9052154195011338,0.0
seasonal_naive,holdout,18524,8.314865018354567,14.519117091340963,8.418769499028286,10.417583869574605,29.038234182681926,44.10631642387572,-0.5479901749082269,0.7704059598358886,88.38908864176207,0.11239473115957677,0.49141654070395163,0.8828006909954653,0.0
